exp_id,ID,Treatment,datetime,movement,PC
exp01,071,ctrl1,2021-03-09T01:10:00Z,6631.031491867107,A
exp01,071,ctrl1,2021-03-09T01:15:00Z,3038.38479528829,A
exp01,071,ctrl1,2021-03-09T01:20:00Z,2351.583282492632,A
exp01,071,ctrl1,2021-03-09T01:25:00Z,782.9683883819209,A
exp01,071,ctrl1,2021-03-09T01:30:00Z,232.2981345929937,A
exp01,071,ctrl1,2021-03-09T01:35:00Z,268.4470258850302,A
exp01,071,ctrl1,2021-03-09T01:40:00Z,875.377678013202,A
exp01,071,ctrl1,2021-03-09T01:45:00Z,261.0648867320665,A
exp01,071,ctrl1,2021-03-09T01:50:00Z,947.1485857158442,A
exp01,071,ctrl1,2021-03-09T01:55:00Z,316.0670796784116,A
exp01,071,ctrl1,2021-03-09T02:00:00Z,227.00226951781025,A
exp01,071,ctrl1,2021-03-09T02:05:00Z,757.5629161357525,A
exp01,071,ctrl1,2021-03-09T02:10:00Z,251.7506652589979,A
exp01,071,ctrl1,2021-03-09T02:15:00Z,3261.514098881087,A
exp01,071,ctrl1,2021-03-09T02:20:00Z,2350.9950640143406,A
exp01,071,ctrl1,2021-03-09T02:25:00Z,722.9148391536577,A
exp01,071,ctrl1,2021-03-09T02:30:00Z,223.28163508797283,A
exp01,071,ctrl1,2021-03-09T02:35:00Z,314.1287738508889,A
exp01,071,ctrl1,2021-03-09T02:40:00Z,364.30773791134465,A
exp01,071,ctrl1,2021-03-09T02:45:00Z,359.562388164406,A
exp01,071,ctrl1,2021-03-09T02:50:00Z,2786.553643899062,A
exp01,071,ctrl1,2021-03-09T02:55:00Z,602.7617889766525,A
exp01,071,ctrl1,2021-03-09T03:00:00Z,1300.406393389408,A
exp01,071,ctrl1,2021-03-09T03:05:00Z,8681.697844548447,A
exp01,071,ctrl1,2021-03-09T03:10:00Z,4153.737203303852,A
exp01,071,ctrl1,2021-03-09T03:15:00Z,6128.253478897721,A
exp01,071,ctrl1,2021-03-09T03:20:00Z,5114.842282757244,A
exp01,071,ctrl1,2021-03-09T03:25:00Z,2647.3112366364257,A
exp01,071,ctrl1,2021-03-09T03:30:00Z,2427.257783404298,A
exp01,071,ctrl1,2021-03-09T03:35:00Z,928.7902212952122,A
exp01,071,ctrl1,2021-03-09T03:40:00Z,265.6809429829476,A
exp01,071,ctrl1,2021-03-09T03:45:00Z,418.24910488362576,A
exp01,071,ctrl1,2021-03-09T03:50:00Z,171.01290494926727,A
exp01,071,ctrl1,2021-03-09T03:55:00Z,859.5734132937032,A
exp01,071,ctrl1,2021-03-09T04:00:00Z,108.28898021580696,A
exp01,071,ctrl1,2021-03-09T04:05:00Z,378.7248722247914,A
exp01,071,ctrl1,2021-03-09T04:10:00Z,176.45987308152905,A
exp01,071,ctrl1,2021-03-09T04:15:00Z,2154.2297552797663,A
exp01,071,ctrl1,2021-03-09T04:20:00Z,299.71829405688703,A
exp01,071,ctrl1,2021-03-09T04:25:00Z,392.6775435986926,A
